experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,openplc_read_started_at,openplc_read_finished_at,openplc_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,register_read_status,coil_read_status,error_type,error_message,openplc_ip,openplc_port,unit_id,holding_register_start,holding_register_count,coil_start,coil_count,bottle_count_from_pi,total_bottle,process_state,bottle_in_batch,last_processed_batch_count,bottle_remainder,pusher_output,ready_for_next_batch,batch_full,raw_registers_unsigned,raw_registers_signed,raw_coils
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000021,21,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:20.393Z,2026-07-18T12:26:20.449Z,56.174,1.0,2026-07-18T12:26:20.448Z,2026-07-18T12:26:20.449Z,0.801,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,114,114,0,4,110,4,FALSE,TRUE,FALSE,"[114,114,0,4,110,4]","[114,114,0,4,110,4]","[false,true,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000022,22,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:21.393Z,2026-07-18T12:26:21.438Z,45.186,0.0,2026-07-18T12:26:21.438Z,2026-07-18T12:26:21.438Z,0.558,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,114,114,0,4,110,4,FALSE,TRUE,FALSE,"[114,114,0,4,110,4]","[114,114,0,4,110,4]","[false,true,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000023,23,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:22.393Z,2026-07-18T12:26:22.438Z,44.82,1.0,2026-07-18T12:26:22.437Z,2026-07-18T12:26:22.438Z,0.794,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,115,115,0,5,110,5,FALSE,TRUE,FALSE,"[115,115,0,5,110,5]","[115,115,0,5,110,5]","[false,true,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000024,24,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:23.394Z,2026-07-18T12:26:23.447Z,53.693,0.0,2026-07-18T12:26:23.447Z,2026-07-18T12:26:23.447Z,0.504,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,115,115,0,5,110,5,FALSE,TRUE,FALSE,"[115,115,0,5,110,5]","[115,115,0,5,110,5]","[false,true,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000025,25,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:24.394Z,2026-07-18T12:26:24.438Z,43.732,1.0,2026-07-18T12:26:24.437Z,2026-07-18T12:26:24.438Z,0.85,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,116,116,0,6,110,6,FALSE,TRUE,FALSE,"[116,116,0,6,110,6]","[116,116,0,6,110,6]","[false,true,false]"
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000026,26,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:25.395Z,2026-07-18T12:26:25.453Z,57.8,1.0,2026-07-18T12:26:25.453Z,2026-07-18T12:26:25.453Z,0.539,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,116,116,0,6,110,6,FALSE,TRUE,FALSE,"[116,116,0,6,110,6]","[116,116,0,6,110,6]","[false,true,false]"
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000027,27,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:26.396Z,2026-07-18T12:26:26.447Z,51.581,1.0,2026-07-18T12:26:26.447Z,2026-07-18T12:26:26.447Z,0.845,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,1000,1000,1,10,1000,0,TRUE,FALSE,TRUE,"[1000,1000,1,10,1000,0]","[1000,1000,1,10,1000,0]","[true,false,true]"
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000028,28,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:27.396Z,2026-07-18T12:26:27.457Z,61.06,1.0,2026-07-18T12:26:27.456Z,2026-07-18T12:26:27.457Z,1.126,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,1000,1000,2,10,1000,0,FALSE,FALSE,TRUE,"[1000,1000,2,10,1000,0]","[1000,1000,2,10,1000,0]","[false,false,true]"
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000029,29,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:28.397Z,2026-07-18T12:26:28.447Z,50.069,1.0,2026-07-18T12:26:28.446Z,2026-07-18T12:26:28.447Z,0.817,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,1000,1000,2,10,1000,0,FALSE,FALSE,TRUE,"[1000,1000,2,10,1000,0]","[1000,1000,2,10,1000,0]","[false,false,true]"
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000030,30,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:29.397Z,2026-07-18T12:26:29.437Z,40.147,1.0,2026-07-18T12:26:29.437Z,2026-07-18T12:26:29.437Z,0.745,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,118,118,0,8,1000,8,FALSE,TRUE,FALSE,"[118,118,0,8,1000,8]","[118,118,0,8,1000,8]","[false,true,false]"
