experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,openplc_read_started_at,openplc_read_finished_at,openplc_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,register_read_status,coil_read_status,error_type,error_message,openplc_ip,openplc_port,unit_id,holding_register_start,holding_register_count,coil_start,coil_count,odo_meter_from_pi,flow_rate_x1000_from_pi,flow_rate_lpm_decoded,volume_x10000_from_pi,volume_litre_decoded,payment_status_from_pi,source_sequence_from_pi,observed_valve_raw_from_pi,node_id_from_pi,odo_meter_processed,process_state,valve_reason,valve_command,abnormal_usage,payment_blocked,raw_registers_unsigned,raw_registers_signed,raw_coils,_source_csv_row
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000021,21,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:34.323Z,2026-07-28T13:07:34.359Z,36.461,8.0,2026-07-28T13:07:34.351Z,2026-07-28T13:07:34.359Z,8.541,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",22
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000022,22,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:35.323Z,2026-07-28T13:07:35.365Z,41.326,15.0,2026-07-28T13:07:35.349Z,2026-07-28T13:07:35.364Z,15.421,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",23
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000023,23,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:36.324Z,2026-07-28T13:07:36.361Z,36.85,8.0,2026-07-28T13:07:36.353Z,2026-07-28T13:07:36.361Z,7.438,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",24
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000024,24,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:37.324Z,2026-07-28T13:07:37.369Z,44.543,18.0,2026-07-28T13:07:37.351Z,2026-07-28T13:07:37.369Z,17.584,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",25
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000025,25,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:38.325Z,2026-07-28T13:07:38.359Z,34.536,9.0,2026-07-28T13:07:38.350Z,2026-07-28T13:07:38.359Z,9.015,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",26
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000026,26,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:39.325Z,2026-07-28T13:07:39.379Z,54.353,11.0,2026-07-28T13:07:39.368Z,2026-07-28T13:07:39.379Z,10.983,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",27
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000027,27,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:40.326Z,2026-07-28T13:07:40.374Z,48.367,21.0,2026-07-28T13:07:40.353Z,2026-07-28T13:07:40.374Z,20.444,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",28
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000028,28,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:41.326Z,2026-07-28T13:07:41.363Z,37.615,11.0,2026-07-28T13:07:41.352Z,2026-07-28T13:07:41.363Z,10.857,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",29
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000029,29,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:42.326Z,2026-07-28T13:07:42.397Z,70.854,41.0,2026-07-28T13:07:42.356Z,2026-07-28T13:07:42.397Z,40.848,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",30
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000030,30,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:43.327Z,2026-07-28T13:07:43.379Z,52.278,25.0,2026-07-28T13:07:43.354Z,2026-07-28T13:07:43.379Z,24.659,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",31
