timestamp_utc,timeline_sequence,source_type,event_type,experiment_phase,collection_id,collection_sequence,source_ip,destination_ip,source_port,destination_port,tcp_stream_key,modbus_transaction_id,modbus_function_code,modbus_register_address,modbus_register_value,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,read_status,note,provenance_file,provenance_record
2026-07-28T10:45:02.294Z,33,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000024,24,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,24
2026-07-28T10:45:03.279Z,34,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000025,25,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,25
2026-07-28T10:45:04.292Z,35,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000026,26,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,26
2026-07-28T10:45:05.282Z,36,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000027,27,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,27
2026-07-28T10:45:06.276Z,37,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000028,28,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,28
2026-07-28T10:45:07.294Z,38,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000029,29,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,29
2026-07-28T10:45:07.889652Z,39,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,6,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=513;direction=REQUEST,working/raw/baseline.pcapng,513
2026-07-28T10:45:07.889815Z,40,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,6,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=514;direction=RESPONSE,working/raw/baseline.pcapng,514
2026-07-28T10:45:08.280Z,41,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000030,30,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,30
2026-07-28T10:45:09.299Z,42,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000031,31,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,31
2026-07-28T10:45:10.281Z,43,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000032,32,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,32
2026-07-28T10:45:11.284Z,44,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000033,33,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,33
2026-07-28T10:45:12.282Z,45,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000034,34,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,34
2026-07-28T10:45:13.287Z,46,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000035,35,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,35
2026-07-28T10:45:14.291Z,47,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000036,36,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,36
2026-07-28T10:45:14.900703Z,48,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,7,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=639;direction=REQUEST,working/raw/baseline.pcapng,639
2026-07-28T10:45:14.900940Z,49,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,7,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=640;direction=RESPONSE,working/raw/baseline.pcapng,640
2026-07-28T10:45:15.279Z,50,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000037,37,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,37
2026-07-28T10:45:21.912899Z,51,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,8,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=721;direction=REQUEST,working/raw/baseline.pcapng,721
2026-07-28T10:45:21.913459Z,52,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,8,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=722;direction=RESPONSE,working/raw/baseline.pcapng,722
2026-07-28T10:45:28.923005Z,53,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,9,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=786;direction=REQUEST,working/raw/baseline.pcapng,786
2026-07-28T10:45:28.923287Z,54,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,9,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=787;direction=RESPONSE,working/raw/baseline.pcapng,787
2026-07-28T10:45:35.933521Z,55,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,10,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=842;direction=REQUEST,working/raw/baseline.pcapng,842
2026-07-28T10:45:35.933902Z,56,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,10,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=843;direction=RESPONSE,working/raw/baseline.pcapng,843
2026-07-28T10:45:42.943003Z,57,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,11,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=918;direction=REQUEST,working/raw/baseline.pcapng,918
2026-07-28T10:45:42.943372Z,58,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,11,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=919;direction=RESPONSE,working/raw/baseline.pcapng,919
2026-07-28T10:45:49.952604Z,59,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,12,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=987;direction=REQUEST,working/raw/baseline.pcapng,987
2026-07-28T10:45:49.952854Z,60,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,12,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=988;direction=RESPONSE,working/raw/baseline.pcapng,988
2026-07-28T10:45:57.829108Z,61,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,13,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1063;direction=REQUEST,working/raw/baseline.pcapng,1063
2026-07-28T10:45:57.829110Z,62,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,13,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1064;direction=REQUEST,working/raw/baseline.pcapng,1064
2026-07-28T10:45:57.829111Z,63,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,13,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1065;direction=REQUEST,working/raw/baseline.pcapng,1065
2026-07-28T10:45:57.829453Z,64,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,13,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1068;direction=RESPONSE,working/raw/baseline.pcapng,1068
2026-07-28T10:46:04.839166Z,65,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,14,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1125;direction=REQUEST,working/raw/baseline.pcapng,1125
2026-07-28T10:46:04.839384Z,66,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,14,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1126;direction=RESPONSE,working/raw/baseline.pcapng,1126
2026-07-28T10:46:11.848752Z,67,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,15,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1197;direction=REQUEST,working/raw/baseline.pcapng,1197
2026-07-28T10:46:11.849052Z,68,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,15,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1198;direction=RESPONSE,working/raw/baseline.pcapng,1198
2026-07-28T10:46:18.859428Z,69,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,16,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1275;direction=REQUEST,working/raw/baseline.pcapng,1275
2026-07-28T10:46:18.859615Z,70,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,16,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1276;direction=RESPONSE,working/raw/baseline.pcapng,1276
2026-07-28T10:46:25.870008Z,71,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,17,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1356;direction=REQUEST,working/raw/baseline.pcapng,1356
2026-07-28T10:46:25.870223Z,72,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,17,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1357;direction=RESPONSE,working/raw/baseline.pcapng,1357
2026-07-28T10:46:32.881247Z,73,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,18,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1424;direction=REQUEST,working/raw/baseline.pcapng,1424
2026-07-28T10:46:32.881438Z,74,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,18,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1425;direction=RESPONSE,working/raw/baseline.pcapng,1425
2026-07-28T10:46:39.891055Z,75,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,19,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1538;direction=REQUEST,working/raw/baseline.pcapng,1538
2026-07-28T10:46:39.891281Z,76,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,19,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1539;direction=RESPONSE,working/raw/baseline.pcapng,1539
2026-07-28T10:46:46.901809Z,77,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,20,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=1596;direction=REQUEST,working/raw/baseline.pcapng,1596
